javaclient(57),BiMo-M,BiMo-B,BiMo
1%=0.01,0.017543859779834747,0.0,0.017543859779834747
2%=0.02,0.035087719559669495,0.035087719559669495,0.035087719559669495
3%=0.03,0.035087719559669495,0.035087719559669495,0.035087719559669495
4%=0.04,0.05263157933950424,0.035087719559669495,0.035087719559669495
5%=0.05,0.07017543911933899,0.05263157933950424,0.07017543911933899
6%=0.06,0.08771929889917374,0.07017543911933899,0.08771929889917374
7%=0.07,0.12280701845884323,0.08771929889917374,0.12280701845884323
8%=0.08,0.14035087823867798,0.12280701845884323,0.15789473056793213
9%=0.09,0.15789473056793213,0.12280701845884323,0.19298245012760162
10%=0.1,0.17543859779834747,0.15789473056793213,0.21052631735801697
11%=0.11,0.22807016968727112,0.21052631735801697,0.24561403691768646
12%=0.12,0.2631579041481018,0.24561403691768646,0.28070175647735596
13%=0.13,0.28070175647735596,0.28070175647735596,0.31578946113586426
14%=0.14,0.31578946113586426,0.31578946113586426,0.35087719559669495
15%=0.15,0.35087719559669495,0.35087719559669495,0.38596490025520325
