System,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
ant_main,0.014814815,0.422222222,0,1,1,0.014814815,1,0.97037037,0.933333333,1,1,1
argouml,0.015748031,0.204724409,0,0.984251969,0.984251969,0.007874016,0.984251969,0.984251969,1,1,1,0.834645669
gwtportlets,0.05,0.7,0,1,1,0,1,1,1,1,1,1
javaclient,0,0,0,1,1,0.181818182,1,1,0.939393939,1,1,0.515151515
jedit,0.024390244,0.469512195,0,1,1,0.030487805,0.969512195,0.987804878,0.975609756,1,1,1
jgap,0.047619048,0.158730159,0.015873016,1,1,0.031746032,0.968253968,1,1,1,1,1
jhotdraw,0.024390244,0.646341463,0.012195122,1,1,0,1,1,1,1,1,1
jmeter_core,0.051282051,0.692307692,0,1,1,0.051282051,1,1,0.948717949,1,1,1
JPMC,0.086956522,0.739130435,0,1,1,0.173913043,1,1,1,1,1,1
log4j,0.016129032,0.247311828,0,1,1,0,0.989247312,0.978494624,0.956989247,1,1,1
Mars,0.023809524,0.625,0,0.839285714,0.839285714,0.06547619,0.964285714,1,0.970238095,0.988095238,0.988095238,1
Maze,0,0.363636364,0,1,1,0,1,1,1,1,1,1
neuroph,0.074074074,0.185185185,0,1,1,0.074074074,1,1,1,1,1,1
PDFBox,0.015151515,0.611111111,0,0.98989899,0.98989899,0,1,1,1,1,1,1
tomcat,0.017301038,0.432525952,0,1,1,0.003460208,0.98615917,0.993079585,0.979238754,0.993079585,0.993079585,1
wro4j,0.022988506,0.494252874,0,1,1,0.011494253,1,1,1,1,1,1
Xerces,0.019480519,0.435064935,0,0.967532468,0.967532468,0,1,0.967532468,1,1,1,1
xuml,0,0.52,0,1,1,0.06,0.88,0.88,0.92,0.92,0.96,0.88
,0.028007509,0.441503157,0.001559341,0.987831619,0.987831619,0.039246704,0.985650574,0.986751883,0.979084504,0.994509712,0.996731935,0.957210955
average_pi,97.20%,55.85%,99.84%,1.22%,1.22%,96.08%,1.44%,1.33%,2.09%,0.55%,0.33%,4.28%
