Xerces(6),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.16666666666666666
16,0.0,0.16666666666666666
17,0.0,0.16666666666666666
18,0.0,0.16666666666666666
19,0.0,0.16666666666666666
20,0.0,0.16666666666666666
21,0.0,0.16666666666666666
22,0.0,0.16666666666666666
23,0.0,0.16666666666666666
24,0.0,0.16666666666666666
25,0.0,0.16666666666666666
26,0.0,0.16666666666666666
27,0.0,0.16666666666666666
28,0.0,0.16666666666666666
29,0.0,0.16666666666666666
30,0.0,0.16666666666666666
