neuroph(24),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.041666666666666664,0.041666666666666664
2,0.08333333333333333,0.08333333333333333
3,0.125,0.125
4,0.125,0.16666666666666666
5,0.16666666666666666,0.16666666666666666
6,0.20833333333333334,0.20833333333333334
7,0.25,0.20833333333333334
8,0.2916666666666667,0.25
9,0.3333333333333333,0.2916666666666667
10,0.3333333333333333,0.3333333333333333
11,0.375,0.375
12,0.4166666666666667,0.375
13,0.4166666666666667,0.375
14,0.4166666666666667,0.4166666666666667
15,0.4166666666666667,0.4166666666666667
16,0.4166666666666667,0.4583333333333333
17,0.4583333333333333,0.5
18,0.4583333333333333,0.5
19,0.5,0.5
20,0.5,0.5416666666666666
21,0.5,0.5416666666666666
22,0.5,0.5416666666666666
23,0.5,0.5416666666666666
24,0.5,0.5416666666666666
25,0.5,0.5416666666666666
26,0.5,0.5416666666666666
27,0.5,0.5416666666666666
28,0.5,0.5416666666666666
29,0.5416666666666666,0.5416666666666666
30,0.5416666666666666,0.5833333333333334
