xuml(37),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2%=0.02,0.0,0.0458295151480326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3%=0.03,0.0,0.042589438631968776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4%=0.04,0.0,0.11933173831785697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%=0.05,0.0,0.18656715842187527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6%=0.06,0.0,0.24595924648560968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7%=0.07,0.0,0.2988047839151526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8%=0.08,0.0,0.3775959624834069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9%=0.09,0.0,0.3887559803681959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%=0.1,0.0,0.4273504255603673,0.0,0.0,0.0,0.028490028853634424,0.0,0.0,0.0,0.0,0.0,0.0
11%=0.11,0.0,0.40805222905348765,0.0,0.0,0.0,0.05440696475441998,0.0,0.0,0.0,0.0,0.0,0.0
12%=0.12,0.0,0.390421653893762,0.026028110662668205,0.0,0.0,0.05205622132533641,0.0,0.0,0.0,0.0,0.0,0.0
13%=0.13,0.0,0.39920160126818377,0.04990020015852297,0.0,0.0,0.04990020015852297,0.0,0.0,0.0,0.0,0.0,0.0
14%=0.14,0.0,0.4072831793851729,0.04791566893781978,0.0,0.0,0.04791566893781978,0.0,0.0,0.0,0.0,0.0,0.0
15%=0.15,0.02304147489220739,0.4377880155060472,0.04608294978441478,0.02304147489220739,0.02304147489220739,0.04608294978441478,0.0,0.0,0.0,0.0,0.02304147489220739,0.02304147489220739
